palavra: la  | freq: 1 | posicoes: 0 / 
palavra: salvar  | freq: 1 | posicoes: 4918 / 

palavra: outros | freq: 1 | posicoes: 4925 / 

palavra: colocaram-se  | freq: 1 | posicoes: 4947 / 

palavra: falaram | freq: 1 | posicoes: 4992 / 

palavra: juntos  | freq: 2 | posicoes: 5002 / 5647 / 

palavra: somos  | freq: 1 | posicoes: 5009 / 

palavra: fortes  | freq: 2 | posicoes: 5020 / 5664 / 

palavra: entrou  | freq: 1 | posicoes: 5081 / 

palavra: expelindo  | freq: 1 | posicoes: 5100 / 

palavra: chuva  | freq: 1 | posicoes: 5114 / 

palavra: pedras  | freq: 1 | posicoes: 5123 / 

palavra: incandescentes | freq: 1 | posicoes: 5130 / 

palavra: marchando  | freq: 1 | posicoes: 5147 / 

palavra: decididos | freq: 1 | posicoes: 5157 / 

palavra: entraram  | freq: 1 | posicoes: 5183 / 

palavra: meio  | freq: 1 | posicoes: 5207 / 

palavra: segui-se  | freq: 1 | posicoes: 5223 / 

palavra: avancou  | freq: 1 | posicoes: 5249 / 

palavra: sobre  | freq: 2 | posicoes: 5257 / 5426 / 

palavra: pinacossauro | freq: 1 | posicoes: 5265 / 

palavra: atacaram  | freq: 1 | posicoes: 5294 / 

palavra: dando  | freq: 1 | posicoes: 5322 / 

palavra: voos  | freq: 1 | posicoes: 5328 / 

palavra: rasantes | freq: 1 | posicoes: 5333 / 

palavra: bicava  | freq: 1 | posicoes: 5343 / 

palavra: olhos | freq: 1 | posicoes: 5355 / 

palavra: demais  | freq: 1 | posicoes: 5365 / 

palavra: encorajados  | freq: 1 | posicoes: 5385 / 

palavra: pelo  | freq: 1 | posicoes: 5397 / 

palavra: exemplo  | freq: 1 | posicoes: 5402 / 

palavra: deles  | freq: 1 | posicoes: 5410 / 

palavra: avancaram  | freq: 1 | posicoes: 5416 / 

palavra: derrubando-o | freq: 1 | posicoes: 5440 / 

palavra: depois | freq: 1 | posicoes: 5459 / 

palavra: caminharam  | freq: 1 | posicoes: 5467 / 

palavra: vitoriosos  | freq: 1 | posicoes: 5478 / 

palavra: viram  | freq: 1 | posicoes: 5509 / 

palavra: maravilhoso  | freq: 1 | posicoes: 5517 / 

palavra: seria  | freq: 1 | posicoes: 5539 / 

palavra: novo  | freq: 1 | posicoes: 5547 / 

palavra: lar | freq: 1 | posicoes: 5552 / 

palavra: daquela  | freq: 1 | posicoes: 5558 / 

palavra: gloriosa  | freq: 1 | posicoes: 5566 / 

palavra: batalha  | freq: 1 | posicoes: 5575 / 

palavra: guardaram  | freq: 1 | posicoes: 5583 / 

palavra: coragem  | freq: 1 | posicoes: 5595 / 

palavra: licao  | freq: 1 | posicoes: 5607 / 

palavra: aprenderam  | freq: 1 | posicoes: 5617 / 

palavra: capazes  | freq: 1 | posicoes: 5673 / 

palavra: realizar  | freq: 1 | posicoes: 5684 / 

